"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"0500000US13271","Telfair County, Georgia","12174","*****","6303","378","4476","168","40","66","19","20","0","23","363","336","973","450","877","440","96","55",
"0500000US13273","Terrell County, Georgia","8941","*****","3252","20","5352","139","0","20","108","130","1","3","165","34","63","35","31","20","32","28",
"0500000US13275","Thomas County, Georgia","45696","*****","26633","222","16377","291","150","99","395","86","16","28","521","248","1604","426","639","343","965","313",
"0500000US13277","Tift County, Georgia","41322","*****","23623","663","11996","433","303","180","464","118","1","2","1266","441","3669","866","1657","496","2012","743",
"0500000US13279","Toombs County, Georgia","26943","*****","17052","383","6399","364","105","91","229","41","0","27","1029","272","2129","504","1096","345","1033","340",
"0500000US13281","Towns County, Georgia","12739","*****","11916","57","213","83","32","29","5","7","5","9","54","44","514","104","255","85","259","83",
"0500000US13283","Treutlen County, Georgia","6387","*****","4117","294","2000","287","5","9","0","20","0","20","2","4","263","148","151","127","112","69",
"0500000US13285","Troup County, Georgia","69821","*****","38943","419","25486","359","75","47","1678","134","5","9","1990","455","1644","463","367","223","1277","414",
"0500000US13287","Turner County, Georgia","8915","*****","4983","153","3356","176","13","23","0","20","0","20","265","155","298","173","20","28","278","170",
"0500000US13289","Twiggs County, Georgia","7869","*****","4362","64","3195","168","27","44","55","76","0","20","65","60","165","102","20","29","145","104",
"0500000US13291","Union County, Georgia","25598","*****","23925","155","225","75","74","78","44","23","0","27","261","206","1069","184","383","178","686","106",
"0500000US13293","Upson County, Georgia","27856","*****","18851","248","7382","376","73","55","105","67","18","24","237","223","1190","401","210","171","980","387",
"0500000US13295","Walker County, Georgia","68449","*****","61967","301","2994","340","117","89","411","109","14","26","454","243","2492","451","861","306","1631","302",
"0500000US13297","Walton County, Georgia","100361","*****","72390","473","19800","435","158","172","1391","323","55","190","2257","582","4310","750","1575","434","2735","602",
"0500000US13299","Ware County, Georgia","35958","*****","22336","200","10748","278","111","61","430","60","19","33","531","264","1783","300","976","262","807","279",
"0500000US13301","Warren County, Georgia","5175","*****","2041","40","2981","104","0","20","17","28","0","20","0","20","136","91","3","6","133","90",
"0500000US13303","Washington County, Georgia","19893","*****","8413","108","10262","257","41","33","108","50","0","23","240","120","829","272","77","61","752","269",
"0500000US13305","Wayne County, Georgia","30519","*****","21987","174","6076","225","23","22","320","80","11","17","956","457","1146","533","272","241","874","417",
"0500000US13307","Webster County, Georgia","2348","*****","1080","232","1151","230","0","14","0","14","0","14","0","14","117","113","62","94","55","76",
"0500000US13309","Wheeler County, Georgia","7434","*****","4385","83","2859","62","10","21","0","20","0","20","91","84","89","53","4","7","85","52",
"0500000US13311","White County, Georgia","28454","*****","25797","406","583","91","35","31","188","52","0","27","600","278","1251","332","676","313","575","112",
"0500000US13313","Whitfield County, Georgia","103118","*****","71835","2006","3508","379","1752","894","1525","142","23","35","14499","1780","9976","1393","7327","1268","2649","527",
"0500000US13315","Wilcox County, Georgia","8784","*****","5383","112","2943","89","4","6","0","20","1","2","127","76","326","93","48","45","278","90",
"0500000US13317","Wilkes County, Georgia","9553","*****","4971","50","3916","148","21","38","0","20","0","20","251","155","394","181","194","145","200","132",
"0500000US13319","Wilkinson County, Georgia","8795","*****","4873","128","3361","75","1","2","1","2","0","20","289","145","270","109","120","70","150","76",
"0500000US13321","Worth County, Georgia","20575","*****","13907","129","4981","371","114","108","153","37","2","5","223","565","1195","517","95","402","1100","379",
"0500000US15001","Hawaii County, Hawaii","203684","*****","63413","740","1599","227","691","414","43216","1815","24611","1177","3886","891","66268","2111","3399","585","62869","2070",
"0500000US15003","Honolulu County, Hawaii","1003666","*****","188777","1502","24427","847","2425","432","427206","3646","99676","2103","16123","1413","245032","4388","16229","1176","228803","4413",
"0500000US15005","Kalawao County, Hawaii","43","17","11","11","0","12","5","11","14","17","8","7","0","12","5","11","0","12","5","11",
"0500000US15007","Kauai County, Hawaii","73610","*****","22151","258","466","154","137","60","21800","939","7538","460","1087","343","20431","1133","1261","262","19170","1164",
"0500000US15009","Maui County, Hawaii","164632","17","51004","645","1248","221","577","210","46571","1664","17197","690","3238","678","44797","2093","5100","975","39697","1999",
"0500000US16001","Ada County, Idaho","508052","*****","430629","1774","6510","622","3211","691","12871","738","890","136","14198","1460","39743","2240","19327","2040","20416","1571",
"0500000US16003","Adams County, Idaho","4599","*****","4212","63","11","12","48","32","0","12","0","12","29","36","299","67","113","55","186","35",
"0500000US16005","Bannock County, Idaho","88457","*****","74579","1205","831","163","2304","313","1401","273","267","86","3472","922","5603","620","2810","550","2793","409",
"0500000US16007","Bear Lake County, Idaho","6552","*****","6183","70","18","27","101","77","17","19","0","17","95","95","138","64","29","29","109","52",
"0500000US16009","Benewah County, Idaho","9913","*****","8423","58","73","40","868","85","4","5","20","20","38","25","487","88","183","64","304","76",
"0500000US16011","Bingham County, Idaho","48993","*****","38751","560","133","63","2624","204","201","82","25","16","3253","610","4006","521","2723","467","1283","283",
"0500000US16013","Blaine County, Idaho","24579","*****","19732","814","117","70","278","229","127","139","1","6","2463","706","1861","587","1551","577","310","189",
"0500000US16015","Boise County, Idaho","8045","*****","7032","172","17","22","89","58","123","39","0","17","162","103","622","168","374","139","248","71",
"0500000US16017","Bonner County, Idaho","49456","*****","45000","362","129","55","263","88","305","119","22","27","748","257","2989","355","1220","330","1769","211",
"0500000US16019","Bonneville County, Idaho","127056","*****","108446","1034","681","241","742","223","1173","260","195","97","6632","964","9187","1249","5526","1237","3661","352",
"0500000US16021","Boundary County, Idaho","12695","*****","11271","186","94","75","202","101","215","53","7","11","350","144","556","235","283","183","273","117",
"0500000US16023","Butte County, Idaho","2654","*****","2449","81","0","12","1","2","0","12","8","11","22","22","174","81","115","64","59","46",
"0500000US16025","Camas County, Idaho","1155","155","902","146","0","12","26","38","0","12","0","12","61","66","166","92","162","92","4","6",
"0500000US16027","Canyon County, Idaho","242405","*****","180189","2546","1589","332","2286","739","2064","316","676","423","27868","2243","27733","2107","18963","2010","8770","767",
"0500000US16029","Caribou County, Idaho","7118","*****","6540","103","0","17","12","12","3","5","0","17","299","85","264","86","100","85","164","13",
"0500000US16031","Cassia County, Idaho","25165","*****","18194","639","21","25","254","171","74","43","4","8","3375","757","3243","595","2431","595","812","185",
"0500000US16033","Clark County, Idaho","776","155","521","137","0","12","1","4","0","12","0","12","201","104","53","52","46","50","7","10",
"0500000US16035","Clearwater County, Idaho","8921","*****","8020","77","18","15","119","42","87","13","1","3","149","56","527","93","174","65","353","62",
"0500000US16037","Custer County, Idaho","4411","*****","3967","99","12","19","19","26","117","106","0","12","43","55","253","105","66","59","187","93",
"0500000US16039","Elmore County, Idaho","29046","*****","21649","361","921","146","361","149","816","160","103","39","1375","387","3821","468","2397","460","1424","238",
"0500000US16041","Franklin County, Idaho","14715","*****","13518","193","0","19","92","70","4","6","17","28","446","155","638","150","137","79","501","133",
"0500000US16043","Fremont County, Idaho","13701","*****","12171","355","39","39","155","98","7","12","13","23","575","289","741","212","501","199","240","81",
"0500000US16045","Gem County, Idaho","19854","*****","17322","381","37","54","78","62","46","52","0","19","684","367","1687","399","944","387","743","114",
"0500000US16047","Gooding County, Idaho","15740","*****","11348","529","10","14","384","160","116","34","0","19","1802","491","2080","504","1918","496","162","105",
"0500000US16049","Idaho County, Idaho","17120","*****","15686","165","16","16","389","136","85","30","0","19","139","130","805","188","245","119","560","137",
"0500000US16051","Jefferson County, Idaho","32234","*****","28459","267","40","43","197","79","21","30","5","10","1432","324","2080","320","1202","336","878","201",
"0500000US16053","Jerome County, Idaho","24788","*****","17326","732","28","29","266","185","75","77","25","40","2396","717","4672","966","4078","950","594","98",
"0500000US16055","Kootenai County, Idaho","177736","*****","156689","1288","533","173","1539","300","1395","295","54","61","2590","701","14936","1374","8663","1289","6273","533",
"0500000US16057","Latah County, Idaho","40315","*****","35722","490","420","87","239","84","862","179","88","13","375","144","2609","491","1233","398","1376","219",
