"GEO_ID","NAME","B03003_001E","B03003_001M","B03003_002E","B03003_002M","B03003_003E","B03003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino","Margin of Error!!Total:!!Not Hispanic or Latino","Estimate!!Total:!!Hispanic or Latino","Margin of Error!!Total:!!Hispanic or Latino",
"0500000US06049","Modoc County, California","8646","*****","7325","*****","1321","*****",
"0500000US06051","Mono County, California","13169","*****","9656","*****","3513","*****",
"0500000US06053","Monterey County, California","435834","*****","170086","*****","265748","*****",
"0500000US06055","Napa County, California","136070","*****","87269","*****","48801","*****",
"0500000US06057","Nevada County, California","102452","*****","91729","*****","10723","*****",
"0500000US06059","Orange County, California","3164063","*****","2083583","*****","1080480","*****",
"0500000US06061","Placer County, California","412435","*****","349023","*****","63412","*****",
"0500000US06063","Plumas County, California","19607","*****","17642","*****","1965","*****",
"0500000US06065","Riverside County, California","2449909","*****","1210207","*****","1239702","*****",
"0500000US06067","Sacramento County, California","1584047","*****","1204313","*****","379734","*****",
"0500000US06069","San Benito County, California","66056","*****","25273","*****","40783","*****",
"0500000US06071","San Bernardino County, California","2187816","*****","994125","*****","1193691","*****",
"0500000US06073","San Diego County, California","3282782","*****","2155561","*****","1127221","*****",
"0500000US06075","San Francisco County, California","836321","*****","703055","*****","133266","*****",
"0500000US06077","San Joaquin County, California","787416","*****","454873","*****","332543","*****",
"0500000US06079","San Luis Obispo County, California","281486","*****","212506","*****","68980","*****",
"0500000US06081","San Mateo County, California","745100","*****","559722","*****","185378","*****",
"0500000US06083","Santa Barbara County, California","443975","*****","232563","*****","211412","*****",
"0500000US06085","Santa Clara County, California","1903297","*****","1425665","*****","477632","*****",
"0500000US06087","Santa Cruz County, California","266021","*****","172905","*****","93116","*****",
"0500000US06089","Shasta County, California","181554","*****","160950","*****","20604","*****",
"0500000US06091","Sierra County, California","2731","234","2469","217","262","116",
"0500000US06093","Siskiyou County, California","43834","*****","38077","*****","5757","*****",
"0500000US06095","Solano County, California","450824","*****","320196","*****","130628","*****",
"0500000US06097","Sonoma County, California","485642","*****","342656","*****","142986","*****",
"0500000US06099","Stanislaus County, California","552250","*****","280463","*****","271787","*****",
"0500000US06101","Sutter County, California","98971","*****","66910","*****","32061","*****",
"0500000US06103","Tehama County, California","65520","*****","47062","*****","18458","*****",
"0500000US06105","Trinity County, California","15886","*****","14950","*****","936","*****",
"0500000US06107","Tulare County, California","475774","*****","161524","*****","314250","*****",
"0500000US06109","Tuolumne County, California","54873","*****","47623","*****","7250","*****",
"0500000US06111","Ventura County, California","838259","*****","470743","*****","367516","*****",
"0500000US06113","Yolo County, California","217782","*****","145435","*****","72347","*****",
"0500000US06115","Yuba County, California","83079","*****","58192","*****","24887","*****",
"0500000US08001","Adams County, Colorado","524408","*****","302775","*****","221633","*****",
"0500000US08003","Alamosa County, Colorado","16515","*****","8615","*****","7900","*****",
"0500000US08005","Arapahoe County, Colorado","655709","*****","516803","*****","138906","*****",
"0500000US08007","Archuleta County, Colorado","13730","*****","11475","*****","2255","*****",
"0500000US08009","Baca County, Colorado","3460","*****","3090","*****","370","*****",
"0500000US08011","Bent County, Colorado","5524","*****","3744","*****","1780","*****",
"0500000US08013","Boulder County, Colorado","328317","*****","280369","*****","47948","*****",
